title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213470.0
Barren Lives,movie,Drama,1963,tt0057654,7.5,3142.0
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,tt0075860,7.6,224578.0
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,187311.0
In the Mood for Love,movie,"Drama, Romance",2000,tt0118694,8.1,175905.0
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,63592.0
Enemy at the Gates,movie,"Action, Drama, War",2001,tt0215750,7.5,284638.0
The Mask,movie,"Comedy, Crime, Fantasy",1994,tt0110475,7.0,443510.0
Black Hawk Down,movie,"Action, Drama, History",2001,tt0265086,7.7,438030.0
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,1560777.0
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,197833.0
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,173665.0
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,35629.0
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31953.0
A Man for All Seasons,movie,"Biography, Drama, History",1966,tt0060665,7.7,38514.0
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,281383.0
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,tt0379217,7.0,69007.0
The Flintstones,movie,"Comedy, Family, Fantasy",1994,tt0109813,5.0,89051.0
Cinderella Man,movie,"Biography, Drama, Romance",2005,tt0352248,8.0,203629.0
Dead Man,movie,"Adventure, Drama, Western",1995,tt0112817,7.5,105754.0
Do the Right Thing,movie,"Comedy, Drama",1989,tt0097216,8.0,117611.0
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208191.0
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,327511.0
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,322027.0
